Description,Rate,Titles,Vote_count,Year
Cine negro. Thriller. Crimen. Robos & Atracos,"8,1",Rififi ,4.841 votos,1955
Drama. Romance. Melodrama. Drama romántico. Siglo XIX. Teatro,"8,1",Historia del último crisantemo ,1.752 votos,1939
Western. ,"8,1",Solo ante el peligro ,25.468 votos,1952
Documental. Bélico. Drama. Falso documental. Histórico. Siglo XIX. Documental sobre Historia,"8,1",La comuna (Paris 1871) ,313 votos,2000
Drama. Infancia. II Guerra Mundial. Neorrealismo,"8,1","Alemania, año cero ",6.870 votos,1948
Fantástico. Terror. Drama. Cine mudo. Expresionismo alemán,"8,1",Fausto ,5.468 votos,1926
Drama. Biográfico. Enfermedad. Discapacidad. Siglo XIX. Película de culto,"8,1",El hombre elefante ,39.623 votos,1980
Drama. Comedia. Cine dentro del cine. Surrealismo. Película de culto,"8,1","Fellini, ocho y medio (8½) ",19.110 votos,1963
Thriller. Drama. Mafia. Crimen. Juego. Años 70. Años 80,"8,1",Casino ,74.064 votos,1995
Animación. Drama. Bélico. II Guerra Mundial. Infancia. Familia. Animación para adultos. Película de culto,"8,1",La tumba de las luciérnagas ,35.958 votos,1988
Documental. Cine mudo. Cine experimental,"8,1",El hombre de la cámara ,5.344 votos,1929
Comedia. Drama. Comedia dramática. Discapacidad. Amistad,"8,1",Intocable ,106.529 votos,2011
Documental. Documental sobre música,"8,1",Searching for Sugar Man ,25.540 votos,2012
Drama. Thriller. Espionaje. Guerra Fría. Años 80,"8,0",La vida de los otros ,73.561 votos,2006
Comedia. Cine mudo. Circo,"8,0",El circo ,6.782 votos,1928
Drama. Melodrama. Familia. Drama sureño,"8,0",La gata sobre el tejado de zinc ,19.636 votos,1958
Western. ,"8,0",La diligencia ,25.236 votos,1939
Drama. Deporte. Boxeo,"8,0",Million Dollar Baby ,164.294 votos,2004
Drama. ,"8,0",El comienzo del verano ,805 votos,1951
Drama. Bélico. Guerra de Vietnam. Amistad. Caza,"8,0",El cazador ,47.231 votos,1978
Drama. Neorrealismo. Pesca,"8,0",La tierra tiembla ,1.644 votos,1948
Drama. Drama psicológico. Familia,"8,0",Sonata de otoño ,6.027 votos,1978
Comedia. Romance. Comedia romántica. Periodismo. Remake,"8,0",Luna nueva ,10.086 votos,1940
Comedia. Comedia negra. Crimen. Basado en hechos reales. Asesinos en serie. Años 20. Años 30,"8,0",Monsieur Verdoux ,6.288 votos,1947
Western. Romance. ,"8,0",Horizontes de grandeza ,10.788 votos,1958
Terror. Expresionismo alemán. Cine mudo. Película de culto. Vampiros. Siglo XIX,"8,0",Nosferatu ,28.704 votos,1922
Drama. II Guerra Mundial. Nazismo,"8,0",Esta tierra es mía ,3.849 votos,1943
Fantástico. Aventuras. Drama. Espada y brujería. Cine épico. Expresionismo alemán. Cine mudo,"8,0",Los Nibelungos: la muerte de Sigfrido (Los Nibelungos Parte I) ,1.792 votos,1924
Drama. ,"8,0",Calle Mayor ,7.738 votos,1956
Drama. Bélico. Revolución Rusa. Histórico. Basado en hechos reales. Cine mudo. Propaganda,"8,0",El acorazado Potemkin ,27.312 votos,1925
Cine negro. Intriga. Drama. Crimen. Drama romántico. Drama psicológico. Cine dentro del cine,"8,0",En un lugar solitario ,6.100 votos,1950
Drama. Años 30. Amistad. Homosexualidad,"8,0",Una jornada particular ,4.893 votos,1977
Drama. Siglo XIX. Drama romántico,"7,9",Madame de... ,2.822 votos,1953
Drama. Romance. ,"7,9",L'Atalante ,4.417 votos,1934
Documental. Documental marino. Animales. Delfines,"7,9",The Cove ,10.014 votos,2009
Comedia. Prostitución. Comedia romántica,"7,9",Irma la dulce ,32.769 votos,1963
Aventuras. Romance. I Guerra Mundial. África,"7,9",La reina de África ,32.273 votos,1951
Drama. Familia,"7,9",El sabor del sake ,2.470 votos,1962
Drama. Años 1900 (circa). Infancia. Familia. Religión,"7,9",Fanny y Alexander ,16.576 votos,1982
Drama. Siglo XIV. Edad Media. Abusos sexuales. Venganza,"7,9",El manantial de la doncella ,8.001 votos,1960
Documental. Naturaleza. Animales. Documental científico,"7,9","Tierra, la película de nuestro planeta ",15.217 votos,2007
Comedia. Romance. Comedia romántica,"7,9",Bola de fuego ,5.669 votos,1941
Ciencia ficción. Fantástico. Mediometraje. Viajes en el tiempo. Holocausto nuclear. Cine experimental. Futuro postapocalíptico,"7,9",El muelle (La Jetée) ,10.405 votos,1962
Thriller. Intriga. Secuestros / Desapariciones. Venganza. Manga. Película de culto. Live-Action,"7,9",Oldboy ,64.320 votos,2003
Drama. Inmigración,"7,9","América, América ",3.049 votos,1963
Drama. Comedia. Infancia. Familia. Cine mudo,"7,9","He nacido, pero... (Y sin embargo hemos nacido) ",1.352 votos,1932
Drama. Drama carcelario. Pájaros. Años 1910-1919. Años 20. Años 50. Basado en hechos reales,"7,9",El hombre de Alcatraz ,6.096 votos,1962
Drama. Revolución Cubana. Película de episodios. Propaganda,"7,9",Soy Cuba ,1.644 votos,1964
Drama. Fantástico. Cine mudo,"7,9",La carreta fantasma ,2.603 votos,1921
Fantástico. Drama. Romance. Película de episodios. Cine mudo. Expresionismo alemán,"7,9",La muerte cansada ,2.298 votos,1921
Comedia. Comedia romántica. Comedia sofisticada,"7,9",Medianoche ,1.732 votos,1939
Comedia. Drama. II Guerra Mundial. Años 60. Guerra de los Balcanes. Familia. Cine dentro del cine. Realismo mágico. Comedia dramática. Comedia negra. Sátira,"7,9",Underground ,17.732 votos,1995
Drama. Melodrama. Cine mudo,"7,9",El séptimo cielo ,1.256 votos,1927
Comedia. Robos & Atracos. Crimen,"7,9",Rufufú ,3.186 votos,1958
Comedia. Familia. Remake,"7,9",Buenos días ,2.714 votos,1959
Drama. Drama psicológico. Remake. Homosexualidad,"7,9",La calumnia ,6.178 votos,1961
Intriga. Drama. II Guerra Mundial. Trenes/Metros. Nazismo. Pintura,"7,9",El tren ,4.940 votos,1964
Drama. Cine mudo. Revolución Rusa. Política. Propaganda,"7,9",Octubre ,4.974 votos,1927
Drama. Road Movie. Película de culto,"7,9","Paris, Texas ",31.670 votos,1984
Drama. Familia. Melodrama. Pobreza,"7,9",El mundo sigue ,3.257 votos,1963
Western. Amistad,"7,9",Río Rojo ,11.350 votos,1948
Documental. ,"7,8",Milestones ,120 votos,1975
Drama. Cine mudo. Película de episodios,"7,8",Intolerancia ,4.482 votos,1916
