Description,Rate,Titles,Vote_count,Year
Documental. ,"7,1",Septiembres ,161 votos,2007
Drama. Infancia. Drama social. Basado en hechos reales,"7,1",La bicicleta verde ,5.577 votos,2012
Drama. Familia. Drama psicológico,"7,1",Dejad de quererme ,4.430 votos,2008
Documental. Aventuras. Aventuras marinas,"7,1",Kon-Tiki ,279 votos,1950
Drama. Historias cruzadas. Vejez. Discapacidad,"7,1",Caídos del cielo ,536 votos,1990
Drama. Musical. Biográfico. Años 50. Años 60,"7,1",La vida en rosa ,13.043 votos,2007
Serie de TV. Drama. Thriller. Miniserie de TV. Biográfico. Terrorismo. Años 70. Años 80,"7,1",Carlos (Miniserie de TV),2.305 votos,2010
Aventuras. Drama. Guerra de Secesión. Siglo XIX. Vida rural (Norteamérica). Religión,"7,1",La gran prueba ,1.849 votos,1956
Documental. Nazismo. II Guerra Mundial. Documental sobre Historia,"7,1",My Enemy’s Enemy ,172 votos,2007
Cine negro. Intriga. ,"7,1",Encrucijada de odios ,1.506 votos,1947
Documental. Enfermedad. Alzheimer. Discapacidad,"7,1","Bicicleta, cuchara, manzana ",2.379 votos,2010
Drama. Histórico. Siglo XIX. Drama de época. Drama romántico,"7,1",Tess ,3.408 votos,1979
Documental. ,"7,1",En el mismo barco ,213 votos,2016
Drama. ,"7,1",El hombre de paja ,88 votos,1958
Comedia. Drama. Road Movie. Transexualidad / transgénero. Cine independiente USA,"7,1",Transamerica ,7.543 votos,2005
Drama. Free Cinema. Rugby. Deporte. Vida rural,"7,1",El ingenuo salvaje ,757 votos,1963
Drama. Años 60. Adolescencia. Erótico,"7,1",Soñadores ,29.495 votos,2003
Animación. Fantástico. Amistad. Monstruos. Familia,"7,1",El niño y la bestia ,4.949 votos,2015
Drama. Holocausto nuclear,"7,1",Rapsodia en agosto ,1.372 votos,1991
Drama. Romance. Crimen. Policíaco. Prostitución. Robos & Atracos. Neo-noir,"7,1",Max y los chatarreros ,418 votos,1971
Documental. Ballet,"7,1",Dancing Dreams ,135 votos,2010
Comedia. Drama. Discapacidad. Amistad. Road Movie. Comedia dramática,"7,1",El octavo día ,1.676 votos,1996
Drama. ,"7,1",Un oso rojo ,2.327 votos,2002
Aventuras. Romance. Secuela,"7,1",La tumba india ,1.620 votos,1959
Drama. ,"7,1",El bruto ,1.475 votos,1952
Documental. ,"7,1",Big Boys Gone Bananas! ,69 votos,2011
Drama. Perros/Lobos. Road Movie,"7,1","Bombón, el perro ",4.235 votos,2004
Comedia. Drama. Amistad,"7,1",Bagdad Café ,4.898 votos,1987
Drama. Thriller. Drama psicológico. Familia,"7,1",Tenemos que hablar de Kevin ,15.354 votos,2011
Comedia. Aventuras marinas. Vida rural,"7,1",La bella Maggie ,171 votos,1954
Drama. Melodrama. Trabajo/empleo. Película de culto,"7,1",Baby Face (Carita de ángel) ,333 votos,1933
Drama. Comedia. Años 80,"7,1",El baño del Papa ,2.133 votos,2007
Documental. Documental sobre cine. Cine mudo,"7,1",El viaje extraordinario ,262 votos,2011
Aventuras. Colonialismo. África. Ejército. Siglo XIX,"7,1",Las cuatro plumas ,2.509 votos,1939
Documental. ,"7,1",Bertsolari ,202 votos,2011
Drama. Revolución Francesa. Siglo XVIII. Basado en hechos reales. Histórico. Biográfico,"7,1",Danton ,1.311 votos,1982
Cine negro. Thriller. Policíaco. Mafia. Trenes/Metros. Serie B. Thriller psicológico,"7,1",Testigo accidental ,864 votos,1952
Serie de TV. Drama. Intriga. Miniserie de TV. Política,"7,1",Secret State (Miniserie de TV),550 votos,2012
Animación. Fantástico. Acción. Aventuras. Manga. Película de culto,"7,1",Lupin III: El castillo de Cagliostro ,3.871 votos,1979
Drama. Familia. II Guerra Mundial. Basado en hechos reales. Biográfico. Años 40,"7,1",Kabei: nuestra madre ,437 votos,2008
Comedia. Drama. Romance. Años 40. Prostitución,"7,1",Matrimonio a la italiana ,2.948 votos,1964
Bélico. Drama. IRA. Años 20,"7,1",El viento que agita la cebada ,20.760 votos,2006
Drama. II Guerra Mundial,"7,1",El viejo y el niño ,281 votos,1967
Intriga. Policíaco. Drama psicológico. Secuestros / Desapariciones,"7,1",El rapto de Bunny Lake ,1.804 votos,1965
Documental. Fútbol. África. Documental deportivo,"7,1",Zoran y los tigres del gol ,50 votos,2013
Thriller. Drama. Yakuza & Triada. Amistad. Mafia. Crimen,"7,1",Brother ,8.758 votos,2000
Drama. Drogas. Road Movie. Años 70. Cine independiente USA,"7,1",Drugstore Cowboy ,6.702 votos,1989
Drama. Road Movie. Drama psicológico,"7,1",El sabor de las cerezas ,7.221 votos,1997
Drama. Basado en hechos reales. Drama social,"7,1","Ladybird, Ladybird ",2.677 votos,1994
Drama. Romance. Drama romántico. Drama de época. Siglo XIX. Free Cinema,"7,1",Lejos del mundanal ruido ,923 votos,1967
Drama. Pintura. Discapacidad. Biográfico. Basado en hechos reales,"7,1","Maudie, el color de la vida ",2.734 votos,2016
Documental. ,"7,1",La muñeca del espacio ,36 votos,2007
Drama. Vejez. Amistad,"7,1",La juventud ,16.246 votos,2015
Drama. Drama de época. Siglo XIX,"7,1",Regreso a Howards End ,15.425 votos,1992
Drama. Familia,"7,1",Una segunda madre ,2.180 votos,2015
Thriller. Drama. Intriga. Thriller psicológico. Drama psicológico. Venganza. Colegios & Universidad,"7,1",Confessions ,12.558 votos,2010
Documental. Documental sobre cine,"7,1",Lost Soul: El viaje maldito de Richard Stanley a la isla del Dr. Moreau ,236 votos,2014
Comedia. Inmigración. Comedia dramática. Años 70. Familia,"7,0",Oriente es oriente ,3.640 votos,1999
Documental. ,"7,0",Al final de la escapada ,81 votos,2010
Drama. Periodismo. Siglo XIX,"7,0",La voz de la primera plana ,306 votos,1952
Drama. Comedia. Melodrama. Familia,"7,0",Volver ,68.537 votos,2006
Drama. Romance. Drama psicológico. Enfermedad,"7,0",La vida secreta de las palabras ,27.542 votos,2005
Drama. Basado en hechos reales. Siglo XIX. Guerra de Secesión,"7,0",Prisionero del odio ,599 votos,1936
Romance. Drama. Crimen. Neo-noir. Drama romántico,"7,0",Mala sangre ,2.080 votos,1986
Cine negro. Drama. Crimen,"7,0",Carne de perdición ,88 votos,1963
Documental. ,"7,0",La libertad del Diablo ,111 votos,2017
Drama. Road Movie. Motos. Película de culto. Cine independiente USA,"7,0",Easy Rider (Buscando mi destino) ,30.376 votos,1969
Comedia. Televisión,"7,0",Ginger y Fred ,1.766 votos,1985
Western. Drama. Racismo. Familia,"7,0",Los que no perdonan ,2.687 votos,1960
Documental. Documental sobre música,"7,0",¿Quién es Harry Nilsson? (¿Y por qué todo el mundo está hablando de él?) ,123 votos,2010
Animación. Música,"7,0",Gartxot ,101 votos,2011
Drama. Romance. ,"7,0",Corazón gigante ,5.453 votos,2015
Documental. Documental sobre cine. Documental sobre música,"7,0",Hollywood Singing and Dancing: Una historia musical ,53 votos,2008
Drama. Colegios & Universidad. Familia,"7,0",Un lugar en ninguna parte ,1.723 votos,1988
Thriller. Drama. Intriga. Crimen. Policíaco. Thriller psicológico,"7,0",No se lo digas a nadie ,9.436 votos,2006
Drama. ,"7,0",Tortura ,297 votos,1944
Drama. ,"7,0",Hombres armados ,920 votos,1997
Aventuras. Colonialismo. Ejército. Siglo XIX,"7,0",La carga de la Brigada Ligera ,1.610 votos,1936
Drama. Revolución Francesa. Siglo XVIII,"7,0",Historia de dos ciudades ,569 votos,1935
Drama. ,"7,0",La anguila ,2.108 votos,1997
Drama. Siglo XIX. Guerra de Secesión,"7,0",Las cuatro hermanitas ,1.376 votos,1933
Documental. Documental sobre música. Flamenco,"7,0",Tiempo de leyenda ,255 votos,2009
Thriller. Drama. Crimen,"7,0",Metro Manila ,3.874 votos,2013
Drama. Romance. Drama psicológico. Drama romántico. Drama de época. Siglo XIX. Biográfico,"7,0",Diario íntimo de Adela H. ,1.340 votos,1975
Documental. Documental sobre música. Conciertos,"7,0",Buzos haciendo surf. Un documental de los Surfin' Bichos ,69 votos,2008
Documental. Biográfico,"7,0",Pecados de mi padre ,643 votos,2009
Drama. Años 1910-1919. Familia. Pintura,"7,0",Un domingo en el campo ,398 votos,1984
Documental. Documental sobre música. Flamenco,"7,0","Flamenco, Flamenco ",507 votos,2010
Comedia. Ejército. II Guerra Mundial,"7,0",Mediterráneo ,6.494 votos,1991
Cine negro. Crimen. Mafia. Melodrama. Amistad. Drama romántico,"7,0",Senda prohibida ,477 votos,1942
Documental. ,"7,0",La cifra negra ,78 votos,2018
Comedia. Drama. Romance. América colonial. Siglo XVIII. Teatro,"7,0",La carroza de oro ,521 votos,1952
Western. Aventuras. Romance. Guerra de Secesión. Cine independiente USA,"7,0",Río Lobo ,3.664 votos,1970
Comedia. Drama. Comedia dramática. Vida rural (Norteamérica),"7,0",La gran seducción ,2.067 votos,2003
Drama. Basado en hechos reales. Conflicto árabe-israelí,"7,0",Los limoneros ,3.224 votos,2008
Comedia. Drama. Música. Comedia dramática,"7,0",El concierto ,10.839 votos,2009
Documental. Documental sobre cine,"7,0",From Caligari to Hitler: German Cinema in the Age of the Masses ,139 votos,2014
Documental. ,"7,0",The Oath ,97 votos,2010
Documental. Infancia,"7,0",Bebés ,2.337 votos,2010
Intriga. Terror. Religión. Vida rural. Policíaco. Secuestros / Desapariciones. Sectas. Sátira. Película de culto,"7,0",El hombre de mimbre ,5.474 votos,1973
Drama. Biográfico. Familia. Adolescencia. Homosexualidad,"7,0",Yo maté a mi madre ,4.840 votos,2009
Comedia. Drama. Comedia negra. Historias cruzadas,"7,0",Mujeres al borde de un ataque de nervios ,46.795 votos,1988
Drama. Amistad. Familia. Comedia dramática,"7,0",Cuento de primavera ,1.879 votos,1990
Serie de TV. Intriga. Miniserie de TV. Asesinos en serie. Siglo XIX,"7,0",Jack el destripador (Miniserie de TV),888 votos,1988
Drama. Romance. Nouvelle vague,"7,0",Los amantes ,1.339 votos,1958
Drama. Melodrama. Drama romántico,"7,0",Las damas del bosque de Bolonia ,935 votos,1945
Drama. ,"7,0",En el umbral de la vida ,605 votos,1958
Documental. Colegios & Universidad. Enseñanza,"7,0",At Berkeley ,107 votos,2013
Documental. Biográfico. Fotografía. Periodismo,"7,0",Annie Leibovitz. Una vida a través de la cámara ,218 votos,2007
Drama. Biográfico. Histórico. Siglo XVI,"7,0",La vida privada de Enrique VIII ,1.058 votos,1933
Comedia. Drama. Comedia negra. Cocina. Drama carcelario,"7,0",Estómago ,4.002 votos,2007
Drama. Thriller. Amistad. Homosexualidad. Drama psicológico,"7,0",Caminar sobre las aguas ,2.713 votos,2004
Cine negro. Drama. Crimen,"7,0",Corazón de hielo ,417 votos,1950
Comedia. Drama. Romance. Años 20. Cine dentro del cine. Drama romántico. Melodrama,"7,0",El silencio es oro ,141 votos,1947
Documental. Biográfico,"7,0",William S. Burroughs: A Man Within ,296 votos,2010
Drama. Comedia. Comedia negra. Surrealismo,"7,0",Canciones del segundo piso ,1.830 votos,2000
Musical. Romance. Ballet. Película de episodios. Ópera,"7,0",Los cuentos de Hoffmann ,333 votos,1951
Drama. ,"7,0",In Love we Trust ,168 votos,2007
Drama. Romance. ,"7,0",Time ,4.285 votos,2006
Drama. Religión. Surrealismo,"7,0",Teorema ,2.828 votos,1968
Intriga. Thriller. Comedia. Crimen. Policíaco,"7,0",Vivamente el domingo ,1.607 votos,1983
Drama. Drogas,"7,0","María, llena eres de gracia ",15.210 votos,2004
Documental. Documental sobre cine,"7,0","Electric Boogaloo: The Wild, Untold Story of Cannon Films ",1.140 votos,2014
Documental. Animales. Gatos,"7,0",Kedi (Gatos de Estambul) ,1.148 votos,2016
Western. ,"7,0",La gran jornada ,565 votos,1930
Drama. ,"7,0",El incomprendido ,222 votos,1967
Documental. Documental sobre música,"7,0",El último aplauso ,36 votos,2009
Comedia. Romance. Comedia romántica. Periodismo,"7,0",Una mujer difamada ,390 votos,1936
Documental. 11-S. Guerra de Iraq,"7,0",Fahrenheit 9/11 ,71.173 votos,2004
Documental. Años 40. Documental sobre Historia. Política,"7,0",El espíritu del 45 ,780 votos,2013
Drama. ,"7,0",El círculo ,1.361 votos,2000
Comedia. Drama. Drama social,"7,0",Riff-Raff ,2.370 votos,1991
Documental. Documental científico. Naturaleza,"7,0",Locos por las partículas ,759 votos,2013
Western. Venganza. Serie B,"7,0",Cabalgar en solitario ,1.016 votos,1959
Drama. Racismo. Familia. Años 1900 (circa). Jazz,"7,0",Ragtime ,2.137 votos,1981
Documental. Documental sobre cine,"7,0",Las películas de mi vida ,255 votos,2016
Documental. ,"7,0",Ai Weiwei: Never Sorry ,764 votos,2012
Terror. Drama. Drama psicológico. Adolescencia. Colegios & Universidad. Acoso escolar. Sobrenatural. Venganza. Película de culto,"7,0",Carrie ,53.708 votos,1976
Drama. ,"7,0",El arco ,4.830 votos,2005
Drama. Comedia. Romance. ,"7,0",Pygmalion ,754 votos,1938
Drama. Siglo XIX,"7,0",Los miserables ,94 votos,1958
Thriller. Intriga. Robos & Atracos. Navidad,"7,0",Testigo Silencioso ,890 votos,1978
Documental. Biográfico. Flamenco,"7,0",La Chana ,88 votos,2016
Drama. Comedia. Amistad,"7,0",Conversaciones con mi jardinero ,5.074 votos,2007
Comedia. Drama. Comedia negra,"7,0",Un dios salvaje ,41.551 votos,2011
Comedia. Película de episodios,"7,0",Señoras y señores ,601 votos,1966
Western. ,"7,0",Filón de plata ,618 votos,1954
Drama. Thriller. Policíaco. Crimen. Drogas,"7,0",Ley 627 ,948 votos,1992
Drama. Familia. Vejez. Remake,"7,0",Una familia de Tokio ,2.910 votos,2013
Drama. Romance. Drama romántico. Melodrama. Remake,"7,0",Amigos apasionados ,650 votos,1949
Drama. Romance. Bodas,"7,0",La boda de Tuya ,825 votos,2006
Terror. Extraterrestres. Serie B,"7,0",El pueblo de los malditos ,5.005 votos,1960
Musical. Terror. Sátira. Música. Comedia negra. Película de culto. Cine independiente USA,"7,0",El fantasma del paraíso ,3.930 votos,1974
Comedia. Drama. Comedia dramática. Vida rural. Feminismo,"7,0",La fuente de las mujeres ,4.071 votos,2011
Intriga. Drama. Cine dentro del cine. Vejez. Melodrama. Drama psicológico,"7,0",Fedora ,3.193 votos,1978
Bélico. Drama. II Guerra Mundial. Basado en hechos reales. Nazismo. Religión,"7,0",Escarlata y negro ,1.150 votos,1983
Serie de TV. Intriga. ,"7,0",Agatha Christie: Poirot (Serie de TV),1.668 votos,1989
Comedia. Película de episodios,"7,0",Boccaccio '70 ,1.518 votos,1962
Documental. Drama. Flamenco,"7,0",La leyenda del tiempo ,1.944 votos,2006
Documental. Documental sobre música. Transexualidad / transgénero. Biográfico,"7,0",The Ballad of Genesis and Lady Jaye ,237 votos,2011
Documental. Bélico. Años 30. Guerra Chino-Japonesa (II). Documental sobre Historia,"7,0",Nanking ,229 votos,2007
Documental. Documental sobre cine,"7,0",Hitchcock/Truffaut ,1.997 votos,2015
Drama. Basado en hechos reales. Histórico. Terrorismo. IRA. Años 90. Telefilm,"7,0",Omagh (TV),3.336 votos,2004
Drama. Trabajo/empleo,"7,0",El empleo del tiempo ,1.081 votos,2001
Serie de TV. Comedia. Drama. Amistad. Serie Online,"7,0",Las cosas grandes (Serie de TV),158 votos,2013
Drama. Melodrama. Años 50. Familia. Homosexualidad. Racismo. Cine independiente USA,"7,0",Lejos del cielo ,8.795 votos,2002
Western. Película de culto. Cine independiente USA,"7,0",Dead Man ,14.000 votos,1995
Musical. Comedia. ,"7,0",La calle 42 ,909 votos,1933
Drama. Histórico. Siglo XV. Biográfico,"7,0",Enrique V ,742 votos,1944
Comedia. Drama. Romance. Comedia romántica. Película de episodios,"7,0","Ayer, hoy y mañana ",1.606 votos,1964
Acción. Romance. Drama. Artes marciales. Siglo XIX,"7,0",Tigre y dragón ,60.798 votos,2000
Thriller. Drama. Secuestros / Desapariciones. Thriller psicológico,"7,0",Plan siniestro ,570 votos,1964
Drama. Thriller. Comedia. Romance. Crimen. Música. Mafia. Melodrama. Neo-noir. Nouvelle vague. Película de culto,"7,0",Tirad sobre el pianista ,3.469 votos,1960
Cine negro. Drama. Crimen,"7,0",Envuelto en la sombra ,548 votos,1946
Thriller. Aventuras. Terror. Intriga. Caza. Thriller psicológico. Película de culto,"7,0",El malvado Zaroff ,1.705 votos,1932
Aventuras. Romance. ,"7,0",El tigre de Esnapur ,1.424 votos,1959
Drama. Años 20. Melodrama. Toros. Cuentos. Cine mudo,"7,0",Blancanieves ,20.459 votos,2012
Thriller. Acción. Crimen. Drogas. Yakuza & Triada. Secuestros / Desapariciones. Amistad. Policíaco,"7,0",El hombre sin pasado ,7.532 votos,2010
Intriga. Thriller. Crimen. Policíaco. Neo-noir,"7,0",Policía Python 357 ,338 votos,1975
Drama. Comedia. Amistad. Enfermedad. Perros/Lobos. Comedia dramática,"7,0",Truman ,25.642 votos,2015
Documental. ,"7,0",Los mundos sutiles ,203 votos,2012
Comedia. Drama. Bélico. Comedia dramática. II Guerra Mundial. Vida rural,"7,0",El secreto de Santa Vittoria ,1.115 votos,1969
Drama. Infancia. Acoso escolar. Familia. Colegios & Universidad. Biográfico. Mediometraje,"7,0",Children ,202 votos,1976
Documental. Enfermedad,"7,0",Cuidadores ,50 votos,2010
Western. ,"7,0",El día de los forajidos ,546 votos,1959
Drama. Adolescencia. Colegios & Universidad. Amistad,"7,0",Respira ,1.436 votos,2014
Drama. Romance. Comedia. Años 80. Drama romántico,"7,0","El mismo amor, la misma lluvia ",16.242 votos,1999
Documental. Drama. Internet / Informática. Cine independiente USA,"7,0",Catfish ,4.807 votos,2010
Drama. Drama judicial. Familia,"7,0",Gett: El divorcio de Viviane Amsalem ,1.813 votos,2014
Comedia. Drama. Romance. Drama romántico. Secuela,"7,0",El amor en fuga ,1.671 votos,1979
Drama. Nazismo. Holocausto. II Guerra Mundial. Basado en hechos reales,"7,0",Sin destino ,1.620 votos,2005
Drama. Fantástico. Secuela,"7,0","Tan lejos, tan cerca ",1.952 votos,1993
Drama. ,"7,0",Nairobi Half Life ,123 votos,2012
Drama. Nouvelle vague,"7,0",Los primos ,346 votos,1959
Drama. Aventuras. ,"6,9",Los tres entierros de Melquíades Estrada ,11.845 votos,2005
Documental. Biográfico. Documental sobre cine,"6,9",Confesiones de Roman Polanski ,395 votos,2011
Documental. ,"6,9",Las chicas de Amanecer Dorado ,78 votos,2017
Documental. Naturaleza. Animales. Simios,"6,9",El viaje de Jane ,97 votos,2010
Drama. Comedia. Cine dentro del cine,"6,9",Ha nacido una estrella ,1.357 votos,1937
Drama. Drama carcelario,"6,9",Leonera ,2.397 votos,2008
Drama. Crimen. Yakuza & Triada,"6,9",Sonatine ,4.234 votos,1993
Drama. Drama social,"6,9",Las nieves del Kilimanjaro ,4.456 votos,2011
Western. ,"6,9","Wichita, ciudad infernal ",1.084 votos,1955
Intriga. Cine negro. Drama. Crimen,"6,9",La casa del río ,726 votos,1950
Cine negro. Drama. Thriller. Crimen. Thriller psicológico,"6,9",Demasiado tarde para lágrimas ,201 votos,1949
Drama. Pintura. Años 70,"6,9",The Pillow Book ,1.944 votos,1996
Comedia. Musical. Romance. Comedia romántica,"6,9",Todos dicen I love you ,16.080 votos,1996
Romance. Drama. Drama romántico. Discapacidad. Orcas,"6,9",De óxido y hueso ,14.832 votos,2012
Drama. Romance. Comedia. Melodrama. Comedia romántica. Realismo mágico. Adolescencia. Cocina. Años 1910-1919,"6,9",Como agua para chocolate ,30.452 votos,1992
Documental. Política. Feminismo,"6,9",Las Constituyentes ,78 votos,2011
Comedia. Película de episodios,"6,9",Querido diario (Caro diario) ,8.873 votos,1993
Documental. Boxeo,"6,9",Cravan vs. Cravan ,703 votos,2002
Drama. Política,"6,9",Clash ,697 votos,2016
Drama. Fotografía,"6,9",Lejano ,1.518 votos,2002
Drama. Romance. Vida rural. Amistad,"6,9",La suerte de Emma ,1.167 votos,2006
Cine negro. Drama. Crimen,"6,9",El bosque petrificado ,1.889 votos,1936
Drama. Trabajo/empleo,"6,9",Recursos humanos ,2.708 votos,1999
Comedia. Musical. Cortometraje,"6,9",7:35 de la mañana (C),10.749 votos,2003
Drama. Comedia. Teatro. Surrealismo. Comedia dramática. Comedia negra. Drama psicológico. Cine independiente USA,"6,9","Synecdoche, New York ",6.393 votos,2008
Drama. Biográfico. Siglo XIX. Pintura,"6,9",Van Gogh ,555 votos,1991
Comedia. ,"6,9",Pasaporte para Pimlico ,586 votos,1949
Drama. II Guerra Mundial,"6,9","Adiós, mamá (Mother of Mine) ",808 votos,2005
Comedia. Drama. Comedia dramática. Vida rural,"6,9",Despertando a Ned ,3.711 votos,1998
Bélico. Drama. Histórico. Guerras Napoleónicas. Siglo XIX,"6,9",Waterloo ,1.004 votos,1970
Documental. Biográfico. Pintura,"6,9",Beltracchi: The Art of Forgery ,52 votos,2014
Drama. Feminismo,"6,9",La estación de las mujeres ,1.076 votos,2015
Documental. Discapacidad. Autismo,"6,9",The Special Need ,51 votos,2013
Romance. Intriga. Drama. Neo-noir. Drama romántico. Nouvelle vague. Drama sureño,"6,9",La sirena del Misisipi ,1.551 votos,1969
Documental. ,"6,9",Of Time and the City ,353 votos,2008
Cine negro. Intriga. ,"6,9",Con las horas contadas ,1.766 votos,1950
Comedia. Drama. Amistad. Baile. Mumblecore. Comedia dramática. Cine independiente USA,"6,9",Frances Ha ,8.184 votos,2012
Drama. Romance. Homosexualidad,"6,9",El hada ignorante ,1.990 votos,2001
Animación. Comedia. Stop Motion. Claymation (Plastilina). Mediometraje. Telefilm,"6,9",Wallace y Gromit: Un asunto de pan o muerte (TV),946 votos,2008
Documental. ,"6,9",Cruzando el puente: Los sonidos de Estambul ,986 votos,2005
Comedia. Drama. Comedia dramática. Inmigración,"6,9",El Havre ,9.760 votos,2011
Drama. Romance. Drama romántico,"6,9",Hechizo ,96 votos,1948
Documental. Documental sobre Historia. Holocausto nuclear,"6,9",Voces de Chernóbil ,107 votos,2016
Romance. Drama. Homosexualidad. Terrorismo. Conflicto árabe-israelí,"6,9",Alata ,507 votos,2012
Drama. Familia. Amistad. Infancia. Adolescencia. Años 20. Años 30. Biográfico,"6,9",Un ángel en mi mesa ,481 votos,1990
Fantástico. Infantil. Aventuras. Dragones. Cine familiar. Película de culto,"6,9",La historia interminable ,95.894 votos,1984
Drama. Crimen. Neo-noir. Cine independiente USA,"6,9",El asesinato de un corredor de apuestas chino ,1.654 votos,1976
Intriga. Drama. Basado en hechos reales. Secuestros / Desapariciones. Años 1900 (circa). Adolescencia. Colegios & Universidad. Película de culto,"6,9",Picnic en Hanging Rock ,3.537 votos,1975
Drama. Guerra de Iraq. Drama carcelario. Amistad. Basado en hechos reales,"6,9",Camino a Guantánamo ,4.569 votos,2006
Drama. Familia. Vida rural. Años 40,"6,9",Test ,146 votos,2014
Drama. Romance. Medicina. Historias cruzadas. Drama romántico,"6,9",Síndromes y un siglo (Syndromes and a Century) ,806 votos,2006
Drama. ,"6,9",Forja de hombres ,911 votos,1938
Drama. Bélico. II Guerra Mundial,"6,9",¿Arde París? ,1.811 votos,1966
Drama. ,"6,9",El viento de la noche ,417 votos,1999
Drama. Cine dentro del cine,"6,9",Ararat ,2.008 votos,2002
Drama. Años 20. Años 30,"6,9",La vida manda ,552 votos,1944
Drama. Thriller. Crimen. Infancia. Policíaco. Thriller psicológico,"6,9",La bahía del tigre ,228 votos,1959
Drama. Política. Posguerra española,"6,9",La guerra ha terminado ,766 votos,1966
Documental. Documental sobre cine. Biográfico,"6,9","Versus: Ken Loach, su vida y el cine ",41 votos,2016
Drama. Política. Revolución Cubana,"6,9",José Martí: El ojo del canario ,61 votos,2010
Drama. Familia. Vida rural,"6,9",La ciénaga ,3.502 votos,2001
Drama. Enseñanza. Colegios & Universidad. Adolescencia. Prostitución. Cine independiente USA,"6,9",El profesor (Detachment) ,13.709 votos,2011
Drama. Infancia. Cine independiente USA,"6,9",El fin de la inocencia ,2.183 votos,2006
Drama. Comedia. Crimen. Comedia dramática. Drama judicial,"6,9",En nombre del pueblo italiano ,250 votos,1971
Western. Aventuras. Revolución Mexicana. Amistad. Buddy Film,"6,9",Vera Cruz (Veracruz) ,6.127 votos,1954
Drama. Romance. Comedia. Drama romántico. Revolución cultural china. Años 70. Vida rural,"6,9",Balzac y la joven costurera china ,2.649 votos,2002
Drama. Música. Enfermedad. Amistad,"6,9",El último concierto ,5.494 votos,2012
Documental. Infancia. Enfermedad. Discapacidad,"6,9",A cielo abierto ,57 votos,2013
Comedia. Drama. Comedia negra,"6,9",Se acabó el negocio ,171 votos,1964
Drama. Enfermedad. SIDA. Años 90. Homosexualidad,"6,9",120 pulsaciones por minuto ,2.933 votos,2017
Drama. Vejez,"6,9",Lola ,441 votos,2009
Drama. Comedia. II Guerra Mundial,"6,9",El cabo atrapado ,251 votos,1962
Documental. Trabajo/empleo,"6,9",¡Gracias jefe! ,223 votos,2015
Drama. Familia,"6,9",El pasado ,4.976 votos,2013
Drama. Familia. Vejez,"6,9",Elena ,1.475 votos,2011
Drama. Romance. Años 30. Cine experimental. Colonialismo,"6,9",India Song ,377 votos,1975
Drama. Trabajo/empleo. Thriller psicológico,"6,9",El método ,36.470 votos,2005
Drama. Romance. Drama romántico,"6,9",Sé a dónde voy ,530 votos,1945
Drama. Comedia. Biográfico. Años 60. Política,"6,9",El vicio del poder ,9.356 votos,2018
Drama. Racismo. Drama sureño,"6,9",La joven ,862 votos,1960
Drama. Cinema novo brasileño,"6,9",Barravento ,270 votos,1962
Western. ,"6,9",La noche de los gigantes ,1.502 votos,1968
Drama. Inmigración. Road Movie,"6,9",14 kilómetros ,1.934 votos,2007
Musical. Gran Depresión. Remake,"6,9",Vampiresas 1933 ,510 votos,1933
Cine negro. Intriga. Drama. Crimen. Robos & Atracos. Serie B. Película de culto,"6,9",El cuarto hombre ,802 votos,1952
Documental. Documental sobre cine,"6,9",Cómo se hizo: Los chicos del coro ,44 votos,2004
Drama. Años 60. Religión. Familia. Nazismo,"6,9",Ida ,14.800 votos,2013
Drama. ,"6,9",La piel quemada ,559 votos,1967
Drama. ,"6,9",El idiota ,960 votos,1951
Western. Acción. Remake,"6,9",El tren de las 3:10 ,37.298 votos,2007
Intriga. Drama. Thriller. Neo-noir. Crimen. Policíaco,"6,9",Un largo adiós ,2.287 votos,1973
Cine negro. Drama. Crimen. Drogas,"6,9",Contrabando (The Lineup) ,405 votos,1958
Drama. Biográfico. Música,"6,9",Violeta se fue a los cielos ,1.621 votos,2011
Fantástico. Terror. Sobrenatural,"6,9",La mano del diablo ,213 votos,1943
Intriga. Thriller. Cine mudo. Asesinos en serie. Crimen,"6,9",El enemigo de las rubias ,1.473 votos,1927
Drama. Pobreza. Comedia dramática. Nouvelle vague,"6,9",El signo de Leo ,446 votos,1962
Cine negro. Thriller. Policíaco. Crimen. Secuestros / Desapariciones,"6,9",Chantaje contra una mujer ,1.341 votos,1962
Thriller. Drama. Robos & Atracos,"6,9",Victoria ,5.182 votos,2015
Comedia. Robos & Atracos,"6,9",Granujas de medio pelo ,24.671 votos,2000
Documental. Biográfico. Televisión,"6,9",Lolo Rico: la mirada no inventada ,33 votos,2015
Drama. Años 70. Infancia. Colegios & Universidad. Basado en hechos reales,"6,9",Stella ,1.196 votos,2008
Drama. Siglo XIX. Mediometraje,"6,9",Una historia inmortal ,643 votos,1968
Comedia. Drama. Sátira. Comedia negra. Erótico. Película de culto,"6,9",La gran comilona ,3.132 votos,1973
Drama. Comedia. Romance. Comedia dramática. Adolescencia. Años 80,"6,9",Submarine ,10.479 votos,2010
Drama. Película de episodios,"6,9",El amor ,579 votos,1948
Drama. Drama social. Música,"6,9",Tocando el viento ,2.443 votos,1997
Western. Acción. Ejército. Naturaleza,"6,9",Tambores lejanos ,2.028 votos,1951
Documental. ETA,"6,9",Barrura begiratzeko leihoak (Ventanas al interior) ,81 votos,2012
