Description,Rate,Titles,Year
Western. Comedia. Remake. Siglo XIX,"6,8",El juez de la horca ,1972
Documental. ,"6,8",Clase valiente: El poder de las palabras ,2016
Drama. ,"6,8",El cohete ,2013
Comedia. Drama. Película de culto. Cine experimental. Cine independiente USA,"6,8",Slacker ,1990
Serie de TV. Drama. Terror. Thriller. Sobrenatural. Brujería,"6,8",Hammer House of Horror (Serie de TV),1980
Drama. Vida rural. Venganza,"6,8",El río y la muerte ,1955
Documental. Animales. Simios. Años 70,"6,8",Proyecto Nim ,2011
Documental. Enseñanza. Infancia,"6,8",Sólo es el principio ,2010
Drama. Biográfico. Música. Drogas. Años 60. Años 70,"6,8",The Doors ,1991
Drama. Política. Cinema novo brasileño,"6,8",Tierra en trance ,1967
Drama. Aventuras. Vida rural (Norteamérica). Adolescencia. Cine independiente USA,"6,8",Mud ,2012
Intriga. Thriller. Thriller psicológico. Secuestros / Desapariciones. Asesinos en serie. Película de culto,"6,8",Desaparecida ,1988
Thriller. Intriga. Mafia. Crimen. IRA,"6,8",El largo viernes santo ,1980
Drama. Crimen. Neo-noir,"6,8",La decisión de las armas ,1981
Drama. Guerra de Bosnia,"6,8",Grbavica (El secreto de Esma) ,2006
Drama. Antigua Roma. Cine épico. Religión. Celos. Histórico,"6,8",El signo de la cruz ,1932
Drama. Discapacidad,"6,8",Hombres ,1950
Aventuras. Acción. Drama. Romance. Catástrofes,"6,8",Huracán sobre la isla ,1937
Drama. Crimen. Siglo XIX. Drama judicial. Histórico. Asesinos en serie,"6,8",El juez y el asesino ,1976
Comedia. Drama. ,"6,8",El hombre de al lado ,2009
Documental. Cine independiente USA,"6,8",GasLand ,2010
Western. Aventuras. Spaghetti Western. Revolución Mexicana. Amistad,"6,8","¡Agáchate, maldito! ",1971
Intriga. Nazismo,"6,8",Los niños del Brasil ,1978
Comedia. Comedia negra,"6,8",El gran calavera ,1949
Drama. ,"6,8",Media luna ,2006
Drama. Telefilm,"6,8",Muerte de un viajante (TV),1985
Drama. Drama de época. Siglo XIX. Familia,"6,8",Los hermanos Karamazov ,1958
Drama. Ciencia ficción. Drama psicológico. Bodas. Fin del mundo,"6,8",Melancolía ,2011
Comedia. Drama. Años 60. Política. Familia,"6,8",Mi hermano es hijo único ,2007
Documental. ,"6,8",Suite Habana ,2003
Drama. Comedia dramática,"6,8",Another Year ,2010
Drama. Adopción. Infancia. Familia. Basado en hechos reales,"6,8",Verano 1993 ,2017
Comedia. Terror. Comedia de terror. Falso documental. Vampiros. Hombres lobo,"6,8",Lo que hacemos en las sombras ,2014
Fantástico. Drama. Romance. ,"6,8",La muerte de vacaciones ,1934
Drama. ,"6,8",Capitán Abu Raed ,2007
Drama. Enfermedad. Alzheimer. Discapacidad. Cine independiente USA,"6,8",Siempre Alice ,2014
Drama. Años 50. Colegios & Universidad. Adolescencia,"6,8",La revolución silenciosa ,2018
Drama. Edad Media. Erótico,"6,8",Las mil y una noches ,1974
Ciencia ficción. Acción. Distopía. Película de culto,"6,8",Desafío total ,1990
Documental. Documental sobre cine,"6,8",78/52. La escena que cambió el cine ,2017
Comedia. Comedia sofisticada. Comedia romántica,"6,8",Lo que piensan las mujeres ,1941
Documental. ,"6,8",Crude ,2009
Drama. Cocina. Enfermedad,"6,8",Una pastelería en Tokio ,2015
Drama. Melodrama,"6,8",Rivales ,1936
Drama. Vejez. Cine dentro del cine. Basado en hechos reales,"6,8",Una vida sencilla ,2011
Drama. Thriller. Crimen. Transexualidad / transgénero,"6,8",Carmín tropical ,2014
Comedia. Romance. Comedia romántica,"6,8",Flor de cactus ,1969
Comedia. Vida rural. Alcoholismo,"6,8",Whisky a go-go ,1949
Comedia. Robos & Atracos,"6,8",Cómo robar un millón y... ,1966
Documental. ,"6,8",Guerra sin huella (TV),2015
Documental. Guerra Civil Española. Documental sobre Historia,"6,8",Mujeres en pie de guerra ,2004
Western. Drama. Vida rural (Norteamérica),"6,8",El rey del rodeo ,1972
Thriller. Cine dentro del cine,"6,8",El héroe anda suelto ,1968
Drama. Familia. Enfermedad,"6,8",La piedra de la paciencia ,2012
Intriga. Fantástico. Drama. Película de culto. Cine independiente USA. Thriller psicológico. Matemáticas,"6,8","Pi, fe en el caos ",1998
Drama. ,"6,8",La isla de hierro ,2005
Documental. Aventuras. Biográfico,"6,8",Los recuerdos de hielo ,2013
Documental. Biográfico. Documental sobre música,"6,8",Oleg y las raras artes ,2016
Drama. Drama sureño,"6,8",Baby Doll ,1956
Drama. Amistad,"6,8",En la ciudad ,2003
Drama. Comedia. Comedia dramática. Comedia negra. Road Movie. Discapacidad,"6,8",Aaltra ,2004
Documental. Moda,"6,8",Notebook on Cities and Clothes ,1989
Comedia. Drama. Romance. Enfermedad. Medicina,"6,8",Doctor Bull ,1933
Drama. Siglo XIX,"6,8",La marquesa de O ,1976
Documental. Política,"6,8",Sanfermines 78 ,2005
Intriga. Thriller. Espionaje,"6,8",Sabotaje (La mujer solitaria) ,1936
Intriga. Crimen. Años 30,"6,8",Muerte en el Nilo ,1978
Drama. Enseñanza. Colegios & Universidad. Inmigración,"6,8",Profesor Lazhar ,2011
Documental. Vejez,"6,8",No Home Movie ,2015
Drama. Enfermedad,"6,8",La vida ,2001
Intriga. Drama. Crimen. Policíaco. Neorrealismo,"6,8",La commare secca (La cosecha estéril) ,1962
Drama. Años 40. Posguerra española. Vida rural. Infancia,"6,8",Pa negre (Pan negro) ,2010
Drama. Romance. Crimen,"6,8",El enemigo público número 1 ,1934
Aventuras. Drama. Siglo XIX. Melodrama. Juego,"6,8",La ciudad sin ley ,1935
Musical. Romance. Remake. Comedia romántica,"6,8",La bella de Moscú ,1957
Terror. Intriga. Giallo. Asesinos en serie. Película de culto,"6,8",Rojo oscuro ,1975
Documental. Documental sobre cine,"6,8",Esto no es una película ,2011
Drama. Adolescencia,"6,8",Los chicos terribles (Les Enfants terribles) ,1950
Drama. ,"6,8",Petra ,2018
Drama. Música,"6,8",Cuatro minutos ,2006
Aventuras. Naturaleza,"6,8",Himalaya ,1999
Documental. Biográfico,"6,8","Gabo, la magia de lo real ",2015
Drama. Erótico. África,"6,8",Paraíso: Amor ,2012
Drama. Comedia. Edad Media. Erótico,"6,8",El decamerón ,1971
Drama. Cinema novo brasileño,"6,8",El dragón de la maldad contra el santo guerrero ,1969
Drama. Años 50. Infancia,"6,8",El largo día acaba ,1992
Drama. Erótico,"6,8",Shame ,2011
Drama. Policíaco,"6,8",El patrullero ,1991
Intriga. Thriller. Crimen,"6,8",Diez negritos ,1945
Drama. Thriller. Inmigración. Cine independiente USA,"6,8",Padre nuestro (Sangre de mi sangre) ,2007
Drama. ,"6,8",Salve quien pueda (la vida) ,1980
Drama. ,"6,8",Los colores de la montaña ,2010
Drama. Boxeo,"6,8",El aire de París ,1954
Comedia. Drama. Comedia dramática,"6,8",Whisky ,2004
Drama. Infancia. Adolescencia. Amistad,"6,8",Héroes ,2010
Drama. Homosexualidad,"6,8",Los chicos de la banda  ,1970
Drama. Crimen. Adolescencia. Skateboard. Cine independiente USA,"6,8",Paranoid Park ,2007
Documental. Política. Crisis económica 2008. Bolsa & Negocios. Sátira,"6,8",Capitalismo: Una historia de amor ,2009
Serie de TV. Drama. Bélico. Miniserie de TV. Basado en hechos reales. Años 1910-1919. I Guerra Mundial. Política,"6,8",37 días (Miniserie de TV),2014
Drama. Drama social. Trabajo/empleo. Inmigración,"6,8",En la puta calle ,1997
Animación. Comedia. Fantástico. Magia. Cortometraje (animación),"6,8",El vendedor de humo (C),2012
Documental. Biográfico. Documental sobre música,"6,8",Janis ,2015
Documental. ,"6,8",El abogado del terror ,2007
Documental. Cine experimental. Comedia negra,"6,7",Mysterious Object at Noon ,2000
Comedia. Cine mudo. Cortometraje. Aventuras marinas,"6,7",Nido de amor (C),1923
Aventuras. Western. Siglo XVIII. Basado en hechos reales,"6,7",Paso al noroeste ,1940
Ciencia ficción. Drama. Animación. Cine dentro del cine. Sátira. Distopía. Animación para adultos,"6,7",El congreso ,2013
Comedia. Drama. Comedia dramática. Japón feudal. Samuráis,"6,7",Scabbard Samurai ,2011
Documental. Drama. Discapacidad,"6,7",El planeta de los caracoles ,2011
Terror. Comedia. Serie B. Monstruos. Comedia de terror. Película de culto,"6,7",La tienda de los horrores ,1960
Aventuras. Fantástico. Mitología. Antigua Grecia,"6,7",Ulises ,1954
Drama. Drama carcelario. Crimen. Basado en hechos reales,"6,7",Veinte mil años en Sing Sing ,1932
Documental. Biográfico. Homosexualidad,"6,7","Ocaña, retrato intermitente (Ocaña, retrat intermitent) ",1978
Drama. II Guerra Mundial,"6,7",Hombres intrépidos ,1940
Drama. Cocina. Homosexualidad,"6,7",El repostero de Berlín ,2017
Intriga. Romance. Siglo XIX,"6,7",Extraño suceso ,1950
Drama. Alcoholismo. Prostitución. Bolsa & Negocios,"6,7",La vida en una pecera ,2014
Documental. Documental sobre cine. Biográfico,"6,7",Qué extraño llamarse Federico ,2013
Drama. Basado en hechos reales. Biográfico. África. Holocausto. Nazismo. Años 30. Años 40,"6,7",En un lugar de África ,2001
Romance. Drama. Drama romántico. Religión. Inmigración,"6,7",Sólo un beso (Un beso cariñoso) ,2004
Drama. Comedia. Cine independiente USA. Drama social,"6,7",Las mujeres de verdad tienen curvas ,2002
Romance. Drama. Drama romántico,"6,7",La desaparición de Eleanor Rigby: Él ,2013
Documental. Comedia. Documental sobre música,"6,7",Supermensch: La leyenda de Shep Gordon ,2013
Drama. Política. Periodismo,"6,7",Mujeres de El Cairo ,2009
Drama. Comedia. Intriga. Fantástico. Sátira. Surrealismo. Distopía,"6,7",El inadaptado ,2006
Aventuras. Romance. Siglo XIII. Edad Media. Cine mudo,"6,7",Robín de los bosques ,1922
Drama. Erótico. Drama psicológico,"6,7",Nymphomaniac. Volumen 1 ,2013
Drama. Drama de época. Siglo XIX,"6,7",Katty Tippel ,1975
Comedia. Drama. Sátira. Amistad. Historias cruzadas,"6,7",El declive del imperio americano ,1986
Drama. Comedia. Historias cruzadas. Cine independiente USA,"6,7","Tú, yo y todos los demás ",2005
Comedia. Drama. Trenes/Metros,"6,7",La ilusión viaja en tranvía ,1954
Drama. Road Movie,"6,7",Son of Babylon ,2009
Drama. Familia. Melodrama. Comedia dramática. Comedia negra. Drama sureño,"6,7",Agosto ,2013
Terror. Fantástico. Brujería. Sobrenatural. Surrealismo,"6,7",El Viyi ,1967
Comedia. Romance. Infancia. Cortometraje,"6,7",Les mistons (Los mocosos) (C),1957
Drama. Drama romántico. Melodrama. Drama sureño,"6,7",Piel de serpiente ,1960
Drama. Biográfico. Enfermedad. Pintura,"6,7",Séraphine ,2008
Drama. Vejez. Animales. Familia. Vida rural,"6,7",Rams (El valle de los carneros) ,2015
Drama. Infancia,"6,7",Jack ,2014
Cine negro. Crimen. Celos. Serie B. Cine independiente USA,"6,7",Justa venganza ,1948
Aventuras. Infantil. Fantástico. Cuentos. Piratas. Cine mudo,"6,7",Peter Pan ,1924
Drama. Drama psicológico. Cine independiente USA,"6,7",Take Shelter ,2011
Drama. Romance. ,"6,7",Aliento (Breath) ,2007
Drama. Romance. Homosexualidad,"6,7",Caída libre ,2013
Comedia. Cine mudo. Cine dentro del cine. Cortometraje,"6,7","Charlot, tramoyista de cine (C)",1916
Romance. Drama. Comedia. Historias cruzadas. Melodrama. Comedia romántica,"6,7",El último beso ,2001
Drama. Romance. Drama romántico,"6,7",El diablo es una mujer ,1935
Drama. ,"6,7",Ya no creo en el amor ,1954
Drama. Enfermedad. Autismo. Discapacidad,"6,7",Sueño de una noche de invierno ,2004
Comedia. Drama. Sátira. Comedia negra. Road Movie. Nouvelle vague. Cine experimental,"6,7",Weekend (Week-end) ,1967
Drama. Comedia. ,"6,7",Gloria ,2013
Comedia. ,"6,7",Bienvenidos al Norte ,2008
Cine negro. Drama. Crimen,"6,7",El asesino anda suelto ,1956
Drama. Conflicto árabe-israelí,"6,7",Domicilio privado ,2004
Cine negro. Crimen. Celos. Melodrama,"6,7",Born to Kill (Nacido para matar) ,1947
Drama. Adolescencia. Familia. Años 70. Cine independiente USA,"6,7",Las vírgenes suicidas ,1999
Terror. Siglo XIX. Cine mudo,"6,7",El hombre y la bestia ,1920
Documental. Política,"6,7",Iranian ,2014
Comedia. Musical. Religión. Secuela,"6,7",Las campanas de Santa María ,1945
Comedia. Drama. ,"6,7",La comunidad de los corazones rotos ,2015
Documental. ,"6,7",Tralas luces ,2011
Drama. Enfermedad. Familia. Navidad,"6,7",Un cuento de Navidad ,2008
Drama. ,"6,7",Relatos ,2009
Drama. Romance. Política,"6,7",El Estado de la Unión ,1948
Thriller. Acción. Robos & Atracos. Neo-noir,"6,7",Ladrón ,1981
Bélico. Guerra de Secesión. Cine épico. Siglo XIX. Ejército,"6,7",Gettysburg ,1993
Thriller. Drama. Crimen. Drogas. Secuela. Spin-off,"6,7",Con las manos ensangrentadas (Pusher II) ,2004
Documental. Documental sobre música. Años 70,"6,7",A Band Called Death ,2012
Documental. Documental sobre música. Documental sobre videojuegos,"6,7",Europe in 8 Bits ,2013
Bélico. II Guerra Mundial,"6,7",Amarga Victoria ,1957
Drama. ,"6,7",Escándalo ,1950
Drama. Intriga. Romance. Thriller. Cine negro. Drama psicológico. Melodrama,"6,7",Secreto tras la puerta ,1947
Comedia. Drama. Romance. Siglo XIX. Drama judicial,"6,7",El juez Priest ,1934
Comedia. Drama. Comedia dramática. Cine independiente USA,"6,7",Flores rotas ,2005
Cine negro. Thriller. Crimen,"6,7",La cicatriz ,1948
Intriga. Thriller. Crimen. Policíaco. Slasher. Asesinos en serie. Thriller psicológico. Cine independiente USA,"6,7",Vestida para matar ,1980
Comedia. Intriga. Romance. Secuela. Crimen. Navidad. Perros/Lobos,"6,7","Ella, él y Asta ",1936
Documental. Guerra de las Malvinas,"6,7",Operación Algeciras ,2004
Intriga. Thriller. ,"6,7",Sombras de sospecha ,1961
Documental. Documental sobre cine,"6,7",Hard as Indie ,2018
Terror. Intriga. Siglo XVI. Drama psicológico. Serie B. Película de culto. Cine independiente USA,"6,7",El péndulo de la muerte ,1961
Documental. Bolsa & Negocios,"6,7",El visionario ,2014
Comedia. Mediometraje. Cine mudo,"6,7","Charlot, vagabundo ",1915
Drama. Drama judicial. Basado en hechos reales. Siglo XIX,"6,7",Madeleine ,1950
Bélico. Acción. Thriller. Drama. Guerra de Iraq. Cine independiente USA,"6,7",En tierra hostil ,2008
Drama. Comedia. Vejez. Amistad. Comedia dramática. Comedia negra,"6,7",Un hombre llamado Ove ,2015
Documental. Fotografía. Cine experimental,"6,7",Unas fotos en la ciudad de Sylvia ,2007
Drama. Nazismo. Holocausto. II Guerra Mundial. Basado en hechos reales,"6,7",La zona gris ,2001
Bélico. Drama. II Guerra Mundial. Nazismo. Basado en hechos reales. Holocausto,"6,7",El Capitán ,2017
Drama. Inmigración,"6,7",Honeymoons (Lunas de miel) ,2009
Bélico. Drama. II Guerra Mundial. Pearl Harbor,"6,7",No eran imprescindibles (No eran invencibles) ,1945
Drama. ,"6,7",Le grand chemin ,1987
Drama. Romance. Ciencia ficción. Surrealismo. Música. Distopía,"6,7",Allegro ,2005
Drama. Romance. Drama de época. Siglo XIX. Basado en hechos reales,"6,7",Elvira Madigan ,1967
Comedia. Bélico. Parodia. II Guerra Mundial,"6,7",La gran juerga ,1966
Documental. Religión,"6,7",El venerable W. ,2017
Documental. Documental sobre cine. Biográfico. Telefilm,"6,7",Michael H. (TV),2013
Ciencia ficción. Terror. Medicina. Serie B. Película de culto. Cine independiente USA,"6,7",El hombre con rayos X en los ojos ,1963
Drama. ,"6,7",Lunático ,2014
Drama. Thriller. Espionaje. Cine experimental,"6,7",El dossier 51 ,1978
Drama. Basado en hechos reales. Cine independiente USA. Adolescencia. Enseñanza. Drama social. Acoso escolar,"6,7",Precious ,2009
Drama. Bélico. África. Infancia,"6,7",Rebelde (Rebelle) ,2012
Drama. Fantástico. Antigua Roma. Mitología,"6,7",Satiricón (Satyricon) ,1969
Western. ,"6,7",Desafío en la ciudad muerta ,1958
Comedia. Drama. Fantástico. Comedia negra. Melodrama,"6,7",El hombre que vendió su alma ,1941
Drama. Comedia dramática. Vida rural (Norteamérica). Siglo XIX,"6,7",Barco a la deriva ,1935
Documental. Biográfico. Documental sobre música,"6,7",The Extraordinary Ordinary Life of José González ,2010
Serie de TV. Thriller. Crimen. Policíaco. Asesinos en serie,"6,7",Whitechapel (Serie de TV),2009
Drama. Política. Periodismo. Cine dentro del cine. Cine experimental,"6,7",Todo va bien ,1972
Drama. ,"6,7",La primera noche de la quietud ,1972
Drama. Vejez,"6,7",La plaga ,2013
Drama. Drama carcelario. Teatro,"6,7",César debe morir ,2012
Thriller. Intriga. Terror. ,"6,7",El hombre leopardo ,1943
Drama. Intriga. Guerra de Iraq. Ejército,"6,7",En el valle de Elah ,2007
Drama. Bélico. I Guerra Mundial. Telefilm. Remake,"6,7",Sin Novedad en el Frente (TV),1979
Comedia. Drama. Romance. Comedia dramática. Drama romántico,"6,7",Medianeras ,2011
Comedia. Cine independiente USA,"6,7",En la sopa (In the Soup) ,1992
Documental. Política. Crimen. Biográfico,"6,7",Palme ,2012
Drama. Biográfico. Baile,"6,7",Yuli ,2018
Documental. Mediometraje,"6,7",No contéis con los dedos ,1967
Comedia. Vida rural. Perros/Lobos,"6,7",El arte de vivir... pero bien ,1968
Comedia. Comedia negra. Histórico. Película de episodios,"6,7",Historias de la edad de oro ,2009
Animación. Comedia. Infantil. Fantástico. Aventuras. Stop Motion,"6,7",Pánico en la granja ,2009
Comedia. Romance. Comedia romántica,"6,7",La pelirroja ,1941
Thriller. Drama. Crimen. Años 80. Secuestros / Desapariciones. Familia. Basado en hechos reales,"6,7",El clan ,2015
Drama. Historias cruzadas. Inmigración,"6,7",Código desconocido ,2000
Documental. África. Caza,"6,7",Safari ,2016
Documental. Drama. Familia. Vejez,"6,7",No todo es vigilia ,2014
Comedia. Navidad,"6,7",La mujer del obispo ,1947
Drama. Histórico. Basado en hechos reales. Política. Falso documental. Telefilm,"6,7",14 d'abril. Macià contra Companys (TV),2011
Drama. Historias cruzadas. Comedia dramática,"6,7",Caramel ,2007
Drama. Dictadura chilena,"6,7",Mi mejor enemigo ,2004
Serie de TV. Drama. ,"6,7",Citas (Serie de TV),2015
Terror. Drama psicológico. Surrealismo. Sobrenatural. Gore. Película de culto,"6,7",La posesión ,1981
Drama. Infancia,"6,7",El espejo ,1997
Documental. ,"6,7",Mapa ,2012
Drama. Guerra de los Balcanes,"6,7",On the Other Side ,2016
Acción. Thriller. Yakuza & Triada. Secuela,"6,7",Exiled ,2006
Comedia. Telefilm. Trabajo/empleo,"6,7",El método Grönholm (TV),2015
Drama. Romance. Drama romántico. Años 60. Historias cruzadas,"6,7",Café de Flore ,2011
Terror. Drama. Animación. Comedia. Documental. Cine experimental. Surrealismo. Cine independiente USA,"6,7",The Short Films of David Lynch ,2002
Drama. Drama social. Familia,"6,7",Casa de arena y niebla ,2003
Drama. Road Movie,"6,7",Tres caras ,2018
Drama. Romance. Drama psicológico. Drama romántico,"6,7",Chico conoce chica ,1984
Drama. Comedia. Comedia dramática. Homosexualidad. Vejez,"6,7",Rosie ,2013
Terror. Intriga. Drama psicológico. Surrealismo. Sobrenatural. Fantasmas. Serie B. Película de culto. Cine independiente USA,"6,7",El carnaval de las almas ,1962
Drama. Bolsa & Negocios,"6,7",La torre de los ambiciosos ,1954
Drama. Comedia. Comedia dramática,"6,7",La nana ,2009
Aventuras. Drama. Supervivencia. Aventuras marinas,"6,7",El viejo y el mar ,1958
Terror. Slasher. Asesinos en serie. Película de culto. Cine independiente USA,"6,7",La matanza de Texas ,1974
Documental. Adolescencia,"6,7",Un sitio donde quedarse ,2014
Drama. Adolescencia,"6,7",Nénette et Boni ,1996
Documental. Biográfico,"6,7",The Arbor ,2010
Documental. Enfermedad,"6,7","Uno por ciento, esquizofrenia ",2006
Thriller. Cine negro. Crimen. Mafia. Inmigración. Thriller psicológico. Neo-noir,"6,7",The Yellow Sea ,2010
Drama. Romance. Amistad,"6,7",La flaqueza del bolchevique ,2003
Ciencia ficción. Fantástico. Terror. Gore. Televisión. Película de culto,"6,7",Videodrome ,1983
Thriller. Intriga. Mafia,"6,7",El día de la lechuza ,1968
Drama. Celos. Cine dentro del cine,"6,7",Otel·lo (Otello) ,2012
Serie de TV. Acción. Ciencia ficción. Viajes en el tiempo,"6,7",El túnel del tiempo (Serie de TV),1966
Drama. Drama psicológico,"6,7",Luces al atardecer (Las luces del suburbio) ,2006
Documental. Documental sobre música. Biográfico,"6,7",Loquillo. Leyenda Urbana ,2008
Terror. Slasher. Asesinos en serie. Halloween. Película de culto. Serie B. Cine independiente USA,"6,7",La noche de Halloween ,1978
Comedia. ,"6,7",El abrazo partido ,2003
Bélico. Drama. II Guerra Mundial,"6,7",Mi vida empieza en Malasia ,1956
Drama. Romance. ,"6,7",Noche nupcial ,1935
Drama. Vida rural (Norteamérica). Religión,"6,7",Los lirios del valle ,1963
Thriller. Policíaco. Crimen. Años 40. Neo-noir. Basado en hechos reales,"6,7",Flic Story (Historia de un policía) ,1975
Drama. Cine dentro del cine,"6,7",La señora sin camelias ,1953
Drama. Crimen. Película de episodios. Trabajo/empleo,"6,7",Un toque de violencia ,2013
Documental. Pobreza. África,"6,7",Los años salvajes ,2013
Cine negro. Intriga. Thriller. Thriller psicológico,"6,7",Pacto tenebroso ,1948
Documental. Documental sobre música. Hip Hop. Telefilm,"6,7",Beat This! A Hip Hop History (TV),1984
Romance. Drama. Años 60. Años 1910-1919. Drama romántico. Película de episodios. Billar,"6,7","Three Times (Tiempos de amor, juventud y libertad) ",2005
Terror. Hombres lobo. Comedia de terror. Película de culto,"6,7",Un hombre lobo americano en Londres ,1981
Drama. Conflicto árabe-israelí,"6,7",El hijo del otro ,2012
Drama. Inmigración. Drama social. Homosexualidad. Prostitución,"6,7",Chicos del Este ,2013
Comedia. Romance. Comedia romántica. Periodismo,"6,7",La reina de Nueva York ,1937
Drama. Política. Histórico. Basado en hechos reales,"6,7",Diaz: No limpiéis esta sangre ,2012
Bélico. Thriller. II Guerra Mundial,"6,7",Ha llegado el águila ,1976
Drama. Drama social. Inmigración,"6,7",Dheepan ,2015
Comedia. Romance. Comedia romántica,"6,7",Indiscreta ,1958
Thriller. Drama. Policíaco. Historias cruzadas,"6,7",El evangelio de la carne ,2013
Terror. Intriga. Drama. Siglo XIX. Serie B,"6,7",La obsesión (El entierro prematuro) ,1962
Aventuras. Road Movie. Cine independiente USA,"6,7",Bass Ackwards ,2010
Documental. Biográfico. Política. Nazismo,"6,7",El caso Kurt Waldheim ,2018
Drama. Fantástico. Política. Periodismo. Drama carcelario. Ajedrez,"6,7",El juego de Arcibel ,2003
Comedia. Vida rural. Trenes/Metros,"6,7",Los apuros de un pequeño tren ,1953
Drama. Amistad. Cine independiente USA,"6,7",Old Joy ,2006
Drama. Comedia. Melodrama,"6,7",Serenata nostálgica ,1941
Documental. Infancia. Enseñanza,"6,7",Camino a la escuela ,2013
Drama. Vejez,"6,7",Mil años de oración ,2007
Documental. Histórico,"6,7",Meteors ,2017
Documental. ,"6,7","Apaporis, secretos de la selva ",2012
Documental. Pintura. Biográfico,"6,7",Art and Craft ,2014
Aventuras. Drama. Basado en hechos reales. Motos. Años 60. Road Movie,"6,7","Burt Munro: un sueño, una leyenda ",2005
Acción. Comedia. Yakuza & Triada. Cine dentro del cine. Comedia negra,"6,7",Why Don't You Play in Hell? ,2013
Drama. Homosexualidad. Basado en hechos reales. Colegios & Universidad. Años 30,"6,7",Otro país ,1984
Drama. Biográfico. Política. Mafia,"6,7",Il divo ,2008
Drama. Romance. Drama romántico,"6,7",No me digas adiós ,1961
Comedia. ,"6,7",El estafador ,1960
Drama. Película de episodios,"6,7",Cuentos inmorales ,1978
Drama. Cine independiente USA,"6,7",Gallos de pelea ,1974
Drama. Comedia. Amistad. Cine independiente USA,"6,7",Goodbye Solo ,2008
Documental. Homosexualidad,"6,7",Children 404 ,2014
Documental. Enfermedad. Alzheimer,"6,7",Bucarest. La memoria perdida ,2008
Documental. Bélico. Política. Guerra de Afganistán. Cine independiente USA,"6,7",Guerras sucias ,2013
Bélico. Drama. Basado en hechos reales. I Guerra Mundial. África,"6,7",El león del desierto ,1980
Documental. Terrorismo. ETA,"6,7",Memorias de un conspirador ,2012
Cine negro. Drama. Crimen. Drama judicial,"6,7",Impacto ,1949
Western. Siglo XIX,"6,7",Una pistola al amanecer ,1956
Drama. Comedia dramática. Road Movie. Guerra de los Balcanes,"6,7",Un día perfecto ,2015
Documental. Vejez. Amistad,"6,7",La once ,2014
Drama. Drama de época. Siglo XIX,"6,7",Lady Hamilton ,1941
Animación. Romance. Fantástico. Comedia. Adolescencia,"6,7","Night Is Short, Walk On Girl ",2017
Aventuras. Siglo XIX. África. Amistad. Basado en hechos reales,"6,7",Las montañas de la luna ,1990
Documental. Periodismo. Política,"6,7",Todos los gobiernos mienten ,2016
Western. ,"6,7",Muerde la bala ,1975
Drama. Road Movie. Años 70,"6,7",Radio On ,1980
Drama. Colegios & Universidad,"6,7",Accidente ,1967
Bélico. Drama. Romance. I Guerra Mundial. Cine mudo,"6,7",Los cuatro jinetes del apocalipsis ,1921
Comedia. Drama. Cine experimental. Comedia negra. Surrealismo,"6,7",La comedia de la vida ,2007
Documental. Mediometraje,"6,7",El sopar ,1974
Drama. Thriller. II Guerra Mundial,"6,7",El viejo fusil ,1975
Drama. Basado en hechos reales. Robos & Atracos. Infancia,"6,7",Play ,2011
Intriga. Terror. Sherlock Holmes. Perros/Lobos,"6,7",El perro de los Baskerville ,1939
Drama. Guerra de Bosnia,"6,7",Cirkus Columbia ,2010
Aventuras. Acción. Comedia. Road Movie,"6,7",Cien mil dólares al sol ,1964
Drama. Inmigración,"6,7",La pequeña Venecia (Shun Li y el poeta) ,2011
Drama. Romance. Drama romántico,"6,6",Así ama la mujer ,1934
Drama. Comedia. Romance. Comedia romántica,"6,6",Elena y los hombres ,1956
Terror. Vampiros. Secuela,"6,6","Drácula, príncipe de las tinieblas ",1966
Cine negro. Drama. Crimen,"6,6",Yo amé a un asesino ,1951
Intriga. Ciencia ficción. Asesinos en serie. Política,"6,6",La zona muerta ,1983
Drama. Dictadura argentina. Infancia,"6,6",Infancia clandestina ,2012
Drama. Thriller. Racismo,"6,6",La vida de Jesús ,1997
Drama. ,"6,6",Whisky y gloria ,1960
Animación. Ciencia ficción. Thriller. Acción. Cine negro. Neo-noir. Cyberpunk. Animación para adultos. Thriller futurista,"6,6",Renacimiento (Renaissance) ,2006
Drama. Romance. ,"6,6",La rosa tatuada ,1955
Intriga. Drama. Drama psicológico. Película de culto,"6,6",Caché (Escondido) ,2005
Drama. Melodrama. I Guerra Mundial,"6,6",Adiós a las armas ,1932
Drama. Biográfico. Mafia. Años 20,"6,6",Al Capone ,1959
Drama. Surrealismo,"6,6",Iré como un caballo loco ,1973
Documental. Religión,"6,6",Kidnapped for Christ ,2014
Drama. Intriga. Policíaco,"6,6",La dama de honor ,2004
Western. Fantástico. Película de culto. Surrealismo,"6,6",El Topo ,1970
Documental. Documental sobre cine. Nouvelle vague,"6,6",Truffaut y Godard: Two in the Wave ,2010
Drama. Cine mudo. Melodrama. Drama romántico,"6,6",Juha ,1999
Romance. Drama. Road Movie. Drama romántico. Alcoholismo. Póker,"6,6",My Blueberry Nights ,2007
Aventuras. Drama. Siglo XI. Edad Media. Medicina. Religión. Cine épico,"6,6",El médico ,2013
Documental. Robos & Atracos,"6,6",Apuntes para una película de atracos ,2018
Comedia. Robos & Atracos. Secuestros / Desapariciones,"6,6",El mundo es nuestro ,2012
Drama. Fantástico. Surrealismo,"6,6",Fando y Lis ,1968
